Date;Time;ÄR;BÖR;STYR;
2024-05-13;09:44:39.156;33.97254;35;14.4713;
2024-05-13;09:44:40.208;33.95154;35;14.76702;
2024-05-13;09:44:41.104;33.92399;35;15.15509;
2024-05-13;09:44:42.153;33.92305;35;15.16831;
2024-05-13;09:44:43.203;33.9822;35;14.3352;
2024-05-13;09:44:44.249;34.02641;35;13.71249;
2024-05-13;09:44:45.161;34.03455;35;13.59784;
2024-05-13;09:44:46.210;34.00751;35;13.97877;
2024-05-13;09:44:47.120;33.9802;35;14.36336;
2024-05-13;09:44:48.173;33.98498;35;14.29603;
2024-05-13;09:44:49.221;34.01944;35;13.81065;
2024-05-13;09:44:50.125;34.022;35;13.7746;
2024-05-13;09:44:51.170;33.99796;35;14.11331;
2024-05-13;09:44:52.221;33.94438;35;14.86792;
2024-05-13;09:44:53.128;33.90115;35;15.47676;
2024-05-13;09:44:54.177;33.87524;35;15.84163;
2024-05-13;09:44:55.237;33.90314;35;15.44872;
2024-05-13;09:44:56.140;33.95083;35;14.77701;
2024-05-13;09:44:57.187;34.02355;35;13.75284;
2024-05-13;09:44:58.234;34.05729;35;13.27767;
2024-05-13;09:44:59.141;34.04307;35;15.23152;
2024-05-13;09:45:00.186;33.98771;35;18.1481;
2024-05-13;09:45:01.247;33.95881;35;20.79192;
2024-05-13;09:45:02.156;34.03306;35;21.61097;
2024-05-13;09:45:03.187;34.20159;35;21.12763;
2024-05-13;09:45:04.248;34.42221;35;19.47904;
2024-05-13;09:45:05.156;34.57985;35;18.15402;
2024-05-13;09:45:06.207;34.68749;35;17.39758;
2024-05-13;09:45:07.113;34.71426;35;17.56333;
2024-05-13;09:45:08.162;34.6665;35;18.90308;
2024-05-13;09:45:09.200;34.60651;35;20.54739;
2024-05-13;09:45:10.110;34.60283;35;21.34033;
2024-05-13;09:45:11.147;34.66184;35;21.30648;
2024-05-13;09:45:12.214;34.7496;35;20.69171;
2024-05-13;09:45:13.110;34.83436;35;19.8689;
2024-05-13;09:45:14.159;34.92792;35;18.79062;
2024-05-13;09:45:15.224;34.97388;35;18.23174;
2024-05-13;09:45:16.257;34.95471;35;18.57446;
2024-05-13;09:45:17.162;34.91245;35;19.29675;
2024-05-13;09:45:18.208;34.83301;35;20.69378;
2024-05-13;09:45:19.102;34.78249;35;21.7785;
2024-05-13;09:45:20.170;34.81786;35;21.73013;
2024-05-13;09:45:21.215;34.94025;35;20.25571;
2024-05-13;09:45:22.102;35.0429;35;18.80293;
2024-05-13;09:45:23.167;35.09888;35;17.84549;
2024-05-13;09:45:24.204;35.07951;35;17.9138;
2024-05-13;09:45:25.113;35.03056;35;18.50203;
2024-05-13;09:45:26.162;34.94322;35;19.78305;
2024-05-13;09:45:27.208;34.88466;35;20.80756;
2024-05-13;09:45:28.270;34.90981;35;20.69377;
2024-05-13;09:45:29.165;34.98115;35;19.78182;
2024-05-13;09:45:30.216;35.04472;35;18.84574;
2024-05-13;09:45:31.108;35.05848;35;18.54748;
2024-05-13;09:45:32.160;35.03494;35;18.78152;
2024-05-13;09:45:33.207;35.01871;35;18.95615;
2024-05-13;09:45:34.115;34.99963;35;19.21087;
2024-05-13;09:45:35.165;34.96715;35;19.71305;
2024-05-13;09:45:36.213;34.94477;35;20.13524;
2024-05-13;09:45:37.120;34.96303;35;19.96068;
2024-05-13;09:45:38.170;34.99486;35;19.55429;
2024-05-13;09:45:39.206;35.01446;35;19.25471;
2024-05-13;09:45:40.114;35.0071;35;19.34385;
2024-05-13;09:45:41.162;35.01883;35;19.14131;
2024-05-13;09:45:42.216;35.0008;35;19.38097;
2024-05-13;09:45:43.112;34.99611;35;19.44881;
2024-05-13;09:45:44.161;34.98997;35;19.54557;
2024-05-13;09:45:45.227;35.00098;35;19.3959;
2024-05-13;09:45:46.120;34.99999;35;19.40859;
2024-05-13;09:45:47.168;34.9729;35;19.80259;
2024-05-13;09:45:48.216;34.95414;35;20.10801;
2024-05-13;09:45:49.127;34.96404;35;20.00321;
2024-05-13;09:45:50.181;35.00349;35;19.46137;
2024-05-13;09:45:51.226;35.02356;35;19.15878;
2024-05-13;09:45:52.116;34.99643;35;19.53368;
2024-05-13;09:45:53.167;34.97086;35;19.91572;
2024-05-13;09:45:54.215;34.9786;35;19.83174;
2024-05-13;09:45:55.121;34.98681;35;19.73024;
2024-05-13;09:45:56.186;34.98647;35;14.02033;
2024-05-13;09:45:57.226;34.92969;35;14.61542;
2024-05-13;09:45:58.138;34.79984;35;15.99971;
2024-05-13;09:45:59.171;34.65229;35;17.67725;
2024-05-13;09:46:00.238;34.56429;35;18.84071;
2024-05-13;09:46:01.129;34.53955;35;19.35954;
2024-05-13;09:46:02.174;34.54651;35;19.61123;
2024-05-13;09:46:03.241;34.57188;35;19.66543;
2024-05-13;09:46:04.130;34.58707;35;19.7655;
2024-05-13;09:46:05.178;34.63253;35;19.58519;
2024-05-13;09:46:06.240;34.71096;35;19.02912;
2024-05-13;09:46:07.129;34.80502;35;18.22969;
2024-05-13;09:46:08.175;34.86416;35;17.74555;
2024-05-13;09:46:09.241;34.81995;35;18.29518;
2024-05-13;09:46:10.132;34.77213;35;18.89926;
2024-05-13;09:46:11.169;34.74056;35;19.38946;
2024-05-13;09:46:12.234;34.71535;35;19.83185;
2024-05-13;09:46:13.142;34.71311;35;20.02771;
2024-05-13;09:46:14.173;34.73827;35;19.9694;
2024-05-13;09:46:15.238;34.78665;35;19.65154;
2024-05-13;09:46:16.132;34.82708;35;19.3613;
2024-05-13;09:46:17.180;34.85653;35;19.17175;
2024-05-13;09:46:18.242;34.83836;35;19.46078;
2024-05-13;09:46:19.136;34.80651;35;19.8867;
2024-05-13;09:46:20.168;34.78694;35;20.22946;
2024-05-13;09:46:21.235;34.79731;35;20.2715;
2024-05-13;09:46:22.142;34.81745;35;20.18578;
2024-05-13;09:46:23.174;34.85638;35;19.91012;
2024-05-13;09:46:24.239;34.91926;35;19.3581;
2024-05-13;09:46:25.130;34.95029;35;19.08327;
2024-05-13;09:46:26.177;34.92205;35;19.4102;
2024-05-13;09:46:27.238;34.85889;35;20.12142;
2024-05-13;09:46:28.128;34.80412;35;20.77343;
