Date;Time;ÄR;BÖR;STYR;
2024-05-13;09:51:19.161;35.19675;35;21.93057;
2024-05-13;09:51:20.208;35.15382;35;22.0539;
2024-05-13;09:51:21.117;35.12777;35;22.10921;
2024-05-13;09:51:22.155;35.07762;35;22.43631;
2024-05-13;09:51:23.199;35.02729;35;22.86003;
2024-05-13;09:51:24.105;35.02213;35;22.87855;
2024-05-13;09:51:25.154;35.04539;35;22.58299;
2024-05-13;09:51:26.200;35.06396;35;22.29364;
2024-05-13;09:51:27.113;35.05169;35;22.32743;
2024-05-13;09:51:28.160;35.02323;35;22.55601;
2024-05-13;09:51:29.207;35.03907;35;22.34373;
2024-05-13;09:51:30.113;35.03041;35;22.37643;
2024-05-13;09:51:31.158;35.04405;35;22.18245;
2024-05-13;09:51:32.205;35.0912;35;21.59106;
2024-05-13;09:51:33.110;35.10667;35;21.28091;
2024-05-13;09:51:34.162;35.08735;35;21.30198;
2024-05-13;09:51:35.214;35.02282;35;21.85166;
2024-05-13;09:51:36.109;34.95215;35;22.59056;
2024-05-13;09:51:37.159;34.93593;35;22.85868;
2024-05-13;09:51:38.210;34.9112;35;23.24474;
2024-05-13;09:51:39.105;34.92153;35;23.27448;
2024-05-13;09:51:40.160;34.98052;35;22.76601;
2024-05-13;09:51:41.209;35.05498;35;21.97578;
2024-05-13;09:51:42.107;35.10335;35;21.36857;
2024-05-13;09:51:43.156;35.12488;35;20.9421;
2024-05-13;09:51:44.204;35.09735;35;21.01952;
2024-05-13;09:51:45.114;35.03403;35;21.5633;
2024-05-13;09:51:46.150;34.97387;35;22.17099;
2024-05-13;09:51:47.215;34.9616;35;22.3565;
2024-05-13;09:51:48.108;34.78305;35;24.29272;
2024-05-13;09:51:49.154;33.94488;35;33.82845;
2024-05-13;09:51:50.201;32.98868;35;46.2209;
2024-05-13;09:51:51.109;32.40515;35;55.62008;
2024-05-13;09:51:52.159;32.05631;35;64.04189;
2024-05-13;09:51:53.208;32.0121;35;69.71913;
2024-05-13;09:51:54.112;32.15477;35;72.66578;
2024-05-13;09:51:55.161;32.4814;35;74.07253;
2024-05-13;09:51:56.209;32.85807;35;74.33721;
2024-05-13;09:51:57.120;33.16323;35;74.22977;
2024-05-13;09:51:58.159;33.48032;35;73.9537;
2024-05-13;09:51:59.211;33.76571;35;73.463;
2024-05-13;09:52:00.120;33.94394;35;73.36996;
2024-05-13;09:52:01.164;34.05609;35;73.97038;
2024-05-13;09:52:02.212;34.10007;35;75.13589;
2024-05-13;09:52:03.116;34.1146;35;76.32708;
2024-05-13;09:52:04.163;34.1335;35;77.67458;
2024-05-13;09:52:05.213;34.22161;35;78.22568;
2024-05-13;09:52:06.120;34.3008;35;78.53445;
2024-05-13;09:52:07.151;34.3886;35;78.78787;
2024-05-13;09:52:08.213;34.46537;35;79.01685;
2024-05-13;09:52:09.109;34.54248;35;78.98101;
2024-05-13;09:52:10.164;34.62912;35;78.82796;
2024-05-13;09:52:11.200;34.68863;35;78.8083;
2024-05-13;09:52:12.112;34.67249;35;79.44769;
2024-05-13;09:52:13.150;34.66154;35;80.14915;
2024-05-13;09:52:14.214;34.69395;35;80.3899;
2024-05-13;09:52:15.106;34.73275;35;80.42439;
2024-05-13;09:52:16.154;34.76706;35;80.51643;
2024-05-13;09:52:17.200;34.79841;35;80.57565;
2024-05-13;09:52:18.107;34.80675;35;80.78607;
2024-05-13;09:52:19.157;34.79827;35;81.22086;
2024-05-13;09:52:20.205;34.84772;35;81.03929;
2024-05-13;09:52:21.117;34.8796;35;80.91542;
2024-05-13;09:52:22.151;34.92063;35;80.68231;
2024-05-13;09:52:23.202;34.95425;35;80.45368;
2024-05-13;09:52:24.121;34.96762;35;80.3717;
2024-05-13;09:52:25.152;34.89162;35;81.25958;
2024-05-13;09:52:26.214;34.84324;35;81.99116;
2024-05-13;09:52:27.118;34.85094;35;82.1504;
2024-05-13;09:52:28.165;34.88174;35;82.07272;
2024-05-13;09:52:29.201;34.93186;35;81.73569;
2024-05-13;09:52:30.106;34.99156;35;81.18932;
2024-05-13;09:52:31.152;35.05908;35;80.45801;
2024-05-13;09:52:32.212;35.05951;35;80.336;
2024-05-13;09:52:33.107;34.98831;35;81.0182;
2024-05-13;09:52:34.155;34.8785;35;82.24899;
2024-05-13;09:52:35.202;34.85156;35;82.77244;
2024-05-13;09:52:36.111;34.86415;35;82.86031;
