Date;Time;ÄR;BÖR;STYR;
2024-05-13;09:56:59.73;34.5968;35;25.59124;
2024-05-13;09:57:00.137;33.70068;35;38.28524;
2024-05-13;09:57:01.182;32.89341;35;51.77293;
2024-05-13;09:57:02.79;32.45852;35;61.31396;
2024-05-13;09:57:03.129;32.28035;35;69.09583;
2024-05-13;09:57:04.179;32.45206;35;72.61377;
2024-05-13;09:57:05.227;32.90712;35;71.98498;
2024-05-13;09:57:06.134;33.34693;35;69.99986;
2024-05-13;09:57:07.182;33.74615;35;68.15755;
2024-05-13;09:57:08.87;33.91399;35;68.20232;
2024-05-13;09:57:09.126;33.99689;35;69.38781;
2024-05-13;09:57:10.182;34.0372;35;70.95348;
2024-05-13;09:57:11.221;34.02249;35;73.187;
2024-05-13;09:57:12.133;34.08537;35;74.14404;
2024-05-13;09:57:13.185;34.24219;35;74.00259;
2024-05-13;09:57:14.76;34.38254;35;73.53065;
2024-05-13;09:57:15.128;34.52095;35;72.99987;
2024-05-13;09:57:16.176;34.64196;35;72.39533;
2024-05-13;09:57:17.225;34.67384;35;72.72189;
2024-05-13;09:57:18.134;34.70755;35;72.86996;
2024-05-13;09:57:19.182;34.74772;35;72.95183;
2024-05-13;09:57:20.76;34.76193;35;73.2198;
2024-05-13;09:57:21.125;34.83713;35;72.74867;
2024-05-13;09:57:22.171;34.96419;35;71.39583;
2024-05-13;09:57:23.228;34.97153;35;71.36446;
2024-05-13;09:57:24.135;34.95624;35;71.60873;
2024-05-13;09:57:25.171;34.89285;35;72.54302;
2024-05-13;09:57:26.235;34.85865;35;73.225;
2024-05-13;09:57:27.141;34.85946;35;73.47871;
2024-05-13;09:57:28.175;34.93153;35;72.82843;
2024-05-13;09:57:29.221;34.97617;35;72.36431;
2024-05-13;09:57:30.129;34.94561;35;72.80106;
2024-05-13;09:57:31.180;34.84901;35;74.19123;
2024-05-13;09:57:32.87;34.78561;35;75.297;
2024-05-13;09:57:33.125;34.75412;35;76.18058;
2024-05-13;09:57:34.174;34.79881;35;76.11497;
2024-05-13;09:57:35.221;34.8597;35;75.72825;
2024-05-13;09:57:36.128;34.91764;35;75.21916;
2024-05-13;09:57:37.178;34.90355;35;75.56868;
2024-05-13;09:57:38.87;34.90077;35;75.78338;
2024-05-13;09:57:39.129;34.94991;35;75.35673;
2024-05-13;09:57:40.180;35.01419;35;74.59669;
2024-05-13;09:57:41.74;35.05438;35;74.04548;
2024-05-13;09:57:42.124;35.0697;35;73.71307;
2024-05-13;09:57:43.177;35.03008;35;74.08814;
2024-05-13;09:57:44.86;34.99145;35;74.54311;
2024-05-13;09:57:45.138;34.95132;35;75.09203;
2024-05-13;09:57:46.184;34.89928;35;75.8896;
2024-05-13;09:57:47.77;34.91446;35;75.87862;
2024-05-13;09:57:48.137;34.94971;35;75.58681;
2024-05-13;09:57:49.183;34.96794;35;75.44596;
2024-05-13;09:57:50.89;34.97516;35;75.41261;
2024-05-13;09:57:51.124;35.0043;35;75.07996;
2024-05-13;09:57:52.171;35.05176;35;74.44249;
2024-05-13;09:57:53.236;35.07168;35;74.06424;
2024-05-13;09:57:54.130;35.09097;35;73.68213;
2024-05-13;09:57:55.178;35.07827;35;73.6564;
2024-05-13;09:57:56.89;35.0815;35;73.47446;
2024-05-13;09:57:57.137;35.05605;35;73.62639;
2024-05-13;09:57:58.184;34.97194;35;74.61635;
2024-05-13;09:57:59.76;34.9042;35;75.55526;
2024-05-13;09:58:00.126;34.861;35;76.3345;
2024-05-13;09:58:01.175;34.84215;35;76.88074;
2024-05-13;09:58:02.223;34.8346;35;77.32776;
2024-05-13;09:58:03.134;34.89095;35;76.8942;
2024-05-13;09:58:04.179;34.9743;35;76.01889;
2024-05-13;09:58:05.225;35.03418;35;75.27402;
2024-05-13;09:58:06.134;35.05818;35;74.891;
2024-05-13;09:58:07.184;35.01758;35;75.29053;
2024-05-13;09:58:08.78;34.92995;35;76.4032;
2024-05-13;09:58:09.130;34.84785;35;77.657;
2024-05-13;09:58:10.181;34.8119;35;78.45872;
2024-05-13;09:58:11.74;34.84452;35;78.38129;
2024-05-13;09:58:12.129;34.93861;35;77.46561;
2024-05-13;09:58:13.184;35.0148;35;76.58522;
2024-05-13;09:58:14.86;35.0988;35;75.4611;
2024-05-13;09:58:15.141;35.12162;35;74.92589;
2024-05-13;09:58:16.176;35.04;35;75.74006;
2024-05-13;09:58:17.72;34.97486;35;76.5272;
2024-05-13;09:58:18.138;34.92814;35;77.21048;
2024-05-13;09:58:19.172;34.95324;35;77.03944;
2024-05-13;09:58:20.77;35.0246;35;76.19623;
2024-05-13;09:58:21.141;35.06496;35;75.59744;
2024-05-13;09:58:22.173;35.04129;35;75.76744;
2024-05-13;09:58:23.223;35.02512;35;75.89747;
2024-05-13;09:58:24.128;35.00716;35;76.08186;
2024-05-13;09:58:25.172;34.93279;35;77.04577;
2024-05-13;09:58:26.224;34.91143;35;77.48734;
2024-05-13;09:58:27.132;34.98073;35;76.74937;
2024-05-13;09:58:28.176;35.11147;35;75.0591;
2024-05-13;09:58:29.223;35.15917;35;74.17203;
2024-05-13;09:58:30.131;35.16041;35;73.86401;
2024-05-13;09:58:31.178;35.09075;35;74.43761;
2024-05-13;09:58:32.87;35.01553;35;75.26109;
2024-05-13;09:58:33.137;34.97484;35;75.78054;
2024-05-13;09:58:34.184;34.98739;35;75.67256;
2024-05-13;09:58:35.78;35.00137;35;75.50937;
2024-05-13;09:58:36.123;35.01375;35;75.34017;
2024-05-13;09:58:37.186;35.02962;35;75.09842;
2024-05-13;09:58:38.237;35.04423;35;74.84372;
2024-05-13;09:58:39.142;35.03274;35;74.91238;
2024-05-13;09:58:40.180;35.03735;35;74.78753;
2024-05-13;09:58:41.80;35.06998;35;74.29045;
2024-05-13;09:58:42.133;35.07261;35;74.09582;
2024-05-13;09:58:43.187;35.02889;35;74.52253;
2024-05-13;09:58:44.90;35.00336;35;74.80609;
2024-05-13;09:58:45.141;35.00288;35;74.81188;
2024-05-13;09:58:46.173;35.01046;35;74.70657;
2024-05-13;09:58:47.235;34.99161;35;74.92349;
2024-05-13;09:58:48.130;34.91559;35;75.93073;
2024-05-13;09:58:49.181;34.85743;35;76.89309;
2024-05-13;09:58:50.86;34.87547;35;76.92442;
