Date;Time;ÄR;BÖR;STYR;
2024-05-13;10:22:33.96;35.0829;35;19.14409;
2024-05-13;10:22:34.151;35.12288;35;19.22535;
2024-05-13;10:22:35.204;35.0854;35;19.57636;
2024-05-13;10:22:36.94;35.04541;35;19.8456;
2024-05-13;10:22:37.159;35.01229;35;19.90175;
2024-05-13;10:22:38.193;34.99619;35;19.85296;
2024-05-13;10:22:39.100;34.99131;35;19.90464;
2024-05-13;10:22:40.152;35.01107;35;19.49432;
2024-05-13;10:22:41.192;35.03191;35;19.37632;
2024-05-13;10:22:42.99;35.01579;35;19.81318;
2024-05-13;10:22:43.165;34.99646;35;19.77393;
2024-05-13;10:22:44.201;34.99111;35;19.74646;
2024-05-13;10:22:45.97;35.00263;35;19.57685;
2024-05-13;10:22:46.162;34.84058;35;23.78603;
2024-05-13;10:22:47.208;34.05521;35;34.46216;
2024-05-13;10:22:48.99;33.33409;35;41.9466;
2024-05-13;10:22:49.160;32.80146;35;48.24857;
2024-05-13;10:22:50.193;32.63581;35;52.52311;
2024-05-13;10:22:51.98;32.71017;35;55.25285;
2024-05-13;10:22:52.163;32.8947;35;58.38341;
2024-05-13;10:22:53.200;33.13652;35;60.63681;
2024-05-13;10:22:54.106;33.37194;35;62.11966;
2024-05-13;10:22:55.153;33.64079;35;63.40345;
2024-05-13;10:22:56.202;33.89694;35;64.31024;
2024-05-13;10:22:57.96;34.11449;35;64.42744;
2024-05-13;10:22:58.161;34.40939;35;63.55012;
2024-05-13;10:22:59.206;34.67262;35;62.89513;
2024-05-13;10:23:00.96;34.80677;35;63.14174;
2024-05-13;10:23:01.157;34.81945;35;64.37475;
2024-05-13;10:23:02.205;34.81918;35;64.56294;
2024-05-13;10:23:03.95;34.84453;35;64.37938;
2024-05-13;10:23:04.160;34.93647;35;63.59605;
2024-05-13;10:23:05.194;35.02721;35;63.10358;
2024-05-13;10:23:06.100;35.06067;35;63.08419;
2024-05-13;10:23:07.163;35.04449;35;63.38311;
2024-05-13;10:23:08.198;35.02188;35;63.40767;
2024-05-13;10:23:09.106;35.02671;35;63.14449;
2024-05-13;10:23:10.156;35.06008;35;62.7143;
2024-05-13;10:23:11.194;35.03071;35;63.34937;
2024-05-13;10:23:12.103;34.97815;35;63.85764;
2024-05-13;10:23:13.156;34.91727;35;64.35316;
2024-05-13;10:23:14.195;34.89874;35;64.5192;
2024-05-13;10:23:15.104;34.87613;35;64.98466;
2024-05-13;10:23:16.155;34.87534;35;64.91078;
2024-05-13;10:23:17.201;34.9;35;65.02203;
2024-05-13;10:23:18.107;34.89045;35;65.58427;
2024-05-13;10:23:19.158;34.8847;35;65.6879;
2024-05-13;10:23:20.207;34.91078;35;65.59182;
2024-05-13;10:23:21.98;34.92126;35;65.81828;
2024-05-13;10:23:22.163;34.93071;35;65.88817;
2024-05-13;10:23:23.209;34.93274;35;66.08295;
2024-05-13;10:23:24.97;34.93063;35;66.20792;
2024-05-13;10:23:25.163;34.93316;35;66.43163;
2024-05-13;10:23:26.208;34.91105;35;66.82111;
2024-05-13;10:23:27.99;34.93001;35;66.40646;
2024-05-13;10:23:28.161;35.02795;35;65.37238;
2024-05-13;10:23:29.208;35.06627;35;65.48061;
2024-05-13;10:23:30.99;35.04585;35;65.92429;
2024-05-13;10:23:31.163;34.98636;35;66.40818;
2024-05-13;10:23:32.200;34.96555;35;66.32029;
2024-05-13;10:23:33.110;34.98523;35;65.96258;
2024-05-13;10:23:34.158;34.95888;35;66.8264;
2024-05-13;10:23:35.204;34.91743;35;67.02538;
2024-05-13;10:23:36.96;34.94857;35;66.51066;
2024-05-13;10:23:37.157;35.0065;35;65.93028;
2024-05-13;10:23:38.203;35.06099;35;65.69907;
2024-05-13;10:23:39.96;35.08958;35;65.26969;
2024-05-13;10:23:40.165;35.11754;35;65.07465;
2024-05-13;10:23:41.201;35.0248;35;66.52983;
2024-05-13;10:23:42.110;34.90207;35;67.4853;
2024-05-13;10:23:43.160;34.84534;35;67.57839;
2024-05-13;10:23:44.210;34.85389;35;67.47847;
2024-05-13;10:23:45.98;34.87814;35;67.58902;
2024-05-13;10:23:46.161;34.93748;35;67.07973;
2024-05-13;10:23:47.198;34.95203;35;67.56921;
2024-05-13;10:23:48.107;34.96996;35;67.29113;
2024-05-13;10:23:49.169;34.98288;35;67.31799;
2024-05-13;10:23:50.199;35.02131;35;66.71381;
2024-05-13;10:23:51.107;35.09732;35;65.87233;
2024-05-13;10:23:52.154;35.1384;35;65.59746;
2024-05-13;10:23:53.196;35.1704;35;64.91643;
2024-05-13;10:23:54.100;35.18054;35;64.83836;
2024-05-13;10:23:55.163;35.12837;35;65.35094;
2024-05-13;10:23:56.210;35.03505;35;65.90119;
2024-05-13;10:23:57.100;34.98722;35;66.0362;
2024-05-13;10:23:58.155;34.9192;35;66.75611;
